id,name,genres
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,"['alternative hip hop', 'modern rock', 'rock']"
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
3q7HBObVc0L8jNeTe5Gofh,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
2ye2Wgw4gimLv2eAKyk1NB,Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,"['permanent wave', 'pop']"
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,"['electro', 'filter house', 'rock']"
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
711MCceyCBcFnzjGY4Q7Un,AC/DC,"['australian rock', 'hard rock', 'rock']"
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,"['dance pop', 'pop', 'pop rap']"
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,"['r&b', 'soul']"
1KCSPY1glIKqW2TotWuXOR,P!nk,"['dance pop', 'pop']"
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"['detroit hip hop', 'hip hop', 'rap']"
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,"['dance pop', 'pop']"
6LuN9FCkKOj5PcnpouEgny,Khalid,"['pop', 'pop r&b']"
0EmeFodog0BfCgMzAIvKQp,Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
6TIYQ3jFPwQSRmorSezPxX,mgk,"['ohio hip hop', 'pop rap']"
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
0TnOYISbd1XYRBk9myaseg,Pitbull,"['dance pop', 'miami hip hop', 'pop']"
3Isy6kedDrgPYoTS1dazA9,Sean Paul,"['dance pop', 'dancehall', 'pop', 'pop rap']"
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,"['rock-and-roll', 'rockabilly']"
1ZwdS5xdxEREPySFridCfh,2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
55Aa2cqylxrFIXC767Z865,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
5WUlDfRSoLAfcVSX1WnrxN,Sia,"['australian dance', 'australian pop', 'pop']"
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']"
0LcJLqbBmaGUft1e9Mm8HV,ABBA,"['europop', 'swedish pop']"
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,"['adult standards', 'easy listening', 'lounge']"
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']"
3PhoLpVuITZKcymswpck5b,Elton John,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
1URnnhqYAYcrqrcwql10ft,21 Savage,"['atl hip hop', 'hip hop', 'rap']"
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"['chicago rap', 'hip hop', 'rap']"
2nszmSgqreHSdJA3zWPyrW,Luis Miguel,"['bolero', 'latin pop']"
6vWDO969PvNqNYHIOW5v0m,Beyoncé,"['pop', 'r&b']"
